77,7798120000000,speed 500cc,12,12,0,140,0,Energizante,
78,7790720000000,2020 LPQTP,11,0,11,0,720,Espumante,
79,7790700000000,Bianchi Extra Brut,4,4,0,420,700,Espumante,
80,7798130000000,Champenoise Blanc de Blancs,12,5,7,1385,2340,Espumante,
81,7790980000000,Chandon Delice 750ml,6,3,3,1150,1500,Espumante,
82,7790950000000,Chaumont Extra brut,6,6,0,0,0,Espumante,
83,7791200000000,Cinzano pro0spritz,6,0,6,0,1140,Espumante,
84,7791540000000,Dada 7 maracuya 750ml ,12,1,11,660,1100,Espumante,
85,7791540000000,Dada 7 Sweet Pink,3,3,0,706,1100,Espumante,
86,7798130000000,Espumante Chayarmuyo Pinot noir Rose,6,2,4,1065,1740,Espumante,
87,7791560000000,Mumm Extra brut,6,3,3,450,1000,Espumante,
88,7791250000000,Navarro Correas Extra Brut,15,4,11,0,1300,Espumante,
89,7790120000000,Sidra 1888,12,2,10,354,780,Espumante,
90,7790900000000,Coca Cola 3L ,227,210,17,0,390,Gaseosa,
91,7790900000000,Coca cola sin azucar 1.5L,18,8,10,160,250,Gaseosa,
92,7790900000000,Coca0cola 1.5L,24,7,17,160,250,Gaseosa,
93,7790900000000,Coca0cola 500ml,12,6,6,100,150,Gaseosa,
94,7790640000000,Cunnington tonica 1.5 L,36,18,18,120,200,Gaseosa,
95,7791810000000,Paso de los Toros Pomelo 1.5L,34,25,9,153,240,Gaseosa,
96,7791810000000,Paso de los Toros Tonica 1.5L,31,25,6,153,240,Gaseosa,
97,7791810000000,Paso de los Toros Tonica 269ml,69,28,41,50,90,Gaseosa,
98,7790900000000,Schweppes,52,52,0,133,210,Gaseosa,
99,7790900000000,Schweppes 354ml ,24,24,0,100,156,Gaseosa,
100,7798070000000,Sierra de los padres 1.5L,6,6,0,100,0,Gaseosa,
101,7790900000000,Sprite 1,5L,36,28,8,130,250,Gaseosa,
102,7790900000000,Sprite zero 1.5L,6,3,3,98,230,Gaseosa,
103,6127800039574b,500 noches blue,3,0,3,1480,2100,Gin,
104,6127800000000,500 noches london dry,3,0,3,1480,2100,Gin,
105,6127800000000,500 noches pink,3,1,2,1480,2100,Gin,
106,89540507583,Beefeater 24,6,1,5,0,6200,Gin,
107,5000300000000,Beefeater Dry Gin ,11,11,0,0,3000,Gin,
108,5000300000000,Beefeater Pink ,3,3,0,0,0,Gin,
109,ginbols,Bols ,4,3,1,0,720,Gin,
110,7640180000000,Bombay ,20,16,4,1860,4200,Gin,
111,656751000000,Bosque,2,2,0,1400,0,Gin,
112,7792410000000,Brighton gin 700ml,4,2,2,730,1350,Gin,
113,897076000000,Bulldog,3,3,0,3200,5400,Gin,
114,7798350000000,Gin terrier citric 750ml,1,0,1,1550,2300,Gin,
115,7798350000000,Gin terrier pink 750ml,1,1,0,1550,2300,Gin,
116,7798350000000,Gin terrier spicy 750ml,1,0,1,1550,2300,Gin,
117,5000290000000,Gordons 700ml ,3,1,2,0,1650,Gin,
118,7791250000000,Gordons,11,11,0,0,1650,Gin,
119,7798140000000,Heraclito dry gin,3,0,3,1025,1800,Gin,
120,754698000000,Heredero,2,2,0,1613,2500,Gin,
121,724751000000,Heredero gin 725ml,2,2,0,1613,2500,Gin,
122,7791560000000,Hiram Walker gin 1L,2,0,2,0,1000,Gin,
123,8411140000000,Larios gin mediterraneo,2,1,1,1500,2500,Gin,
124,8411140000000,Larios Rose gin,11,9,2,1800,2900,Gin,
125,724751000000,Malandra Gin 500ml,45,28,17,640,1200,Gin,
126,7798290000000,Maleficio Dry gin,3,2,1,716,1350,Gin,
127,7798290000000,Maleficio Honey ,3,0,3,871,1350,Gin,
128,7798290000000,Maleficio Pink,3,2,1,871,1350,Gin,
129,7798200000000,Principe de los Apostoles,2,2,0,1648,2600,Gin,
130,7798200000000,Principe de los apostoles 750ml,4,3,1,1650,2600,Gin,
131,ginriojano,Rinia,8,5,3,1100,1650,Gin,
132,5000280000000,Tanqueray,4,0,4,0,3430,Gin,
133,7790900000000,Ades 200ml durazno,6,1,5,65,100,Jugo,
134,7790900000000,Ades 200ml frutas tropicales,6,3,3,65,100,Jugo,
135,7790900000000,Ades 200ml manzana,6,6,0,65,100,Jugo,
136,7790040000000,Baggio Multifruta,16,16,0,0,0,Jugo,
137,7798290000000,Big C durazno,8,8,0,0,0,Jugo,
138,7790900000000,Bot Cepita durazno 1L,12,5,7,130,200,Jugo,
139,7790900000000,Cepita 200ml multifruta,6,1,5,45,80,Jugo,
140,7790900000000,Cepita 200ml naranja ,6,3,3,45,80,Jugo,
141,7790900000000,Cepita bot naranja 1L,20,20,0,120,200,Jugo,
142,7790900000000,Jugo Cepita Manzana 1L,63,36,27,116,200,Jugo,
143,7790900000000,Jugo Cepita Multifruta 1L,41,20,21,116,200,Jugo,
144,7790900000000,Jugo Cepita Naranja 1L,60,52,8,116,200,Jugo,
145,5011010000000,Baileys,12,7,5,2110,3200,Licor,
146,7791090000000,Hesperidina ,2,2,0,520,1020,Licor,
147,4067700000000,Jagermeister,2,2,0,1800,3000,Licor,
148,auricular,Auricular + parlante brahma ,2,1,1,0,1800,Regaleria,
149,bandejabud,Bandeja Budweiser roja,6,0,6,0,1440,Regaleria,
150,8904000000000,Frapera acero inox.,2,0,2,1267,3000,Regaleria,
151,Fraperabudweiser,Frapera Budweiser,2,2,0,0,3120,Regaleria,
152,7501010000000,Bacardi carta blanca 1L ,3,3,0,1660,2200,Ron,
153,7501010000000,Bacardi Carta Oro 750ml,3,1,2,1175,1800,Ron,
154,7501010000000,Bacardi Ron Carta Blanca 750ml,3,1,2,1175,1800,Ron,
155,8501110000000,Havana Club 3 anios 750cc,4,2,2,825,1700,Ron,
156,7891050000000,Malibu 750ml,3,2,1,1500,2500,Ron,
157,89540468709,Malibu 750ml,2,1,1,1500,2500,Ron,
158,7790310000000,3D sabor queso 47gr,4,4,0,92,160,Snack,
159,7790310000000,3D sabor queso 95gr,3,3,0,169,260,Snack,
160,7790310000000,Cheetos queso 47gr,8,7,1,100,160,Snack,
161,7790310000000,Cheetos queso 94gr,9,9,0,192,300,Snack,
162,7790310000000,Doritos queso 45gr,11,11,0,115,190,Snack,
163,7790310000000,Doritos queso 85gr,14,10,4,225,340,Snack,
164,7892840000000,Doritos queso 85gr,5,5,0,225,340,Snack,
165,7790310000000,Lays asado 85gr,3,3,0,192,300,Snack,
166,7790310000000,Lays cebolla caramelizada 41gr,4,4,0,100,170,Snack,
167,7790310000000,Lays clasicas 20gr,6,6,0,54,0,Snack,
168,7790310000000,Lays clasicas 45gr,16,16,0,100,160,Snack,
169,7790310000000,Lays clasicas 94gr,15,9,6,192,300,Snack,
170,7790310000000,Lays jamon serrano 85gr,7,7,0,192,300,Snack,
171,7790310000000,Lays ketchup 85gr,13,11,2,192,300,Snack,
172,7790310000000,Lays limon ,3,3,0,192,300,Snack,
173,7790310000000,Lays queso y cebolla 85gr,8,3,5,192,300,Snack,
174,7790310000000,Lays queso y pimienta 41gr,3,3,0,107,170,Snack,
175,7790310000000,Lays queso y pimienta 85gr,6,4,2,192,300,Snack,
176,7790310000000,Twistos mini jamon 40gr,9,9,0,96,140,Snack,
177,7790310000000,Twistos mini queso 40gr,9,5,4,96,140,Snack,
178,7501040000000,Jose Cuervo Blanco ,1,0,1,3202,6000,Tequila,
179,7501040000000,Jose Cuervo Dorado ,1,1,0,3202,6000,Tequila,
180,7790260000000,Tequila conquistador,3,0,3,950,1800,Tequila,
181,7798090000000,Aime Malbec,8,8,0,275,420,VM,
182,7798090000000,Aime Red Blend,1,1,0,305,500,VM,
183,7790240000000,Alaris blanco dulce,3,1,2,370,600,VM,
184,7790240000000,Alaris malbec,6,1,5,315,500,VM,
185,7790240000000,Alma mora cabernet sauvignon,3,2,1,415,660,VM,
186,7790240000000,Alma Mora Chardonnay,5,5,0,415,660,VM,
187,7790240000000,Alma Mora malbec,22,15,7,415,660,VM,
188,7798120000000,Andeluna Altitud Malbec,3,0,3,840,1600,VM,
189,7798120000000,Andeluna Raices Malbec,3,1,2,455,900,VM,
190,7790840000000,Arrogante Bodg. Vicentin,3,0,3,0,2400,VM,
191,7798110000000,Azul Malbec,3,1,2,495,800,VM,
192,7798000000000,Baudron Malbec,2,2,0,399,780,VM,
193,7798000000000,Baudron Reservado,2,2,0,462,1080,VM,
194,7793440000000,Benjamin malbec,3,3,0,270,444,VM,
195,7795230000000,Bosco Malbec,9,6,3,371,1000,VM,
196,7798120000000,By the Glass chardonnay,2,0,2,1680,3000,VM,
197,7798120000000,By the Glass Malbec 3L,5,5,0,2160,3000,VM,
198,7798120000000,By the Glass Red blend,2,2,0,1680,3000,VM,
199,7790090000000,Cafayate Malbec,15,6,9,350,570,VM,
200,7790090000000,Cafayate Torrontes Dulce tard.,3,3,0,400,560,VM,
201,7798110000000,Callia cabernet sauvignon ,2,2,0,265,460,VM,
202,7798110000000,Callia malbec,27,27,0,260,430,VM,
203,7798110000000,Callia new malbec,4,0,4,265,570,VM,
204,7798110000000,Callia syrah cabernet,2,2,0,265,460,VM,
205,7798040000000,Casillero del Diablo res. ,3,2,1,540,1500,VM,
206,7798250000000,Castore Bonarda,6,2,4,960,1850,VM,
207,7798250000000,Castore Malbec,12,8,4,960,1850,VM,
208,7798120000000,Chac Chac Sauvignon,3,0,3,600,980,VM,
209,7791840000000,Chacabuco cabernet sauvignon,4,0,4,200,480,VM,
210,7791840000000,Chacabuco malbec,3,3,0,320,540,VM,
211,7798130000000,Chaniarmuyo Gran VM Cabernet Franc,6,4,2,998,1900,VM,
212,7798130000000,Chaniarmuyo Gran VM Malbec,48,31,17,998,1900,VM,
213,7798130000000,Chaniarmuyo varietal Chardonnay,6,4,2,725,1450,VM,
214,7798130000000,Chaniarmuyo varietal malbec,36,26,10,725,1450,VM,
215,7798130000000,Chaniarmuyo Vinia providencia Malbec,6,4,2,1941,3900,VM,
216,7790420000000,Circus malbec,8,3,5,367,600,VM,
217,7798160000000,Cordero con Piel de Lobo malbec,36,31,5,388,680,VM,
218,7798130000000,Cuesta del Madero R. Malbec,3,3,0,236,528,VM,
219,7791540000000,Dada art malbec,6,1,5,395,590,VM,
220,7791540000000,Dada n8 chocolate blend,10,6,4,395,590,VM,
221,7791540000000,Dada Sweet Pink lata,24,16,8,220,350,VM,
222,7790980000000,Desigual Malbec,3,3,0,280,492,VM,
223,7790310000000,Dilema blanco dulce,3,3,0,275,468,VM,
224,7790310000000,Dilema day malbec,9,5,4,406,560,VM,
225,7790190000000,Don David malbec,7,4,3,625,990,VM,
226,7795230000000,Donde manda capitan Malbec,12,8,4,330,650,VM,
227,7798130000000,El Apostador Blend,6,1,5,800,1200,VM,
228,7798130000000,El bribon Malbec ,11,2,9,0,1200,VM,
229,7798130000000,El Canalla Blend ,6,2,4,1300,1920,VM,
230,7790840000000,El Contrabandista Petit Verdot,6,2,4,1400,1920,VM,
231,7798370000000,El Gordo Motoneta Malbec,9,9,0,385,744,VM,
232,7798130000000,El Guapo Cabernet franc,6,0,6,800,1200,VM,
233,7791540000000,El que rie ultimo rie mejor,6,1,5,688,1150,VM,
234,7790840000000,El Renegado Cabernet Sauvignon,11,1,10,1400,1920,VM,
235,7790840000000,El Tramposo Cabernet Franc,6,1,5,1400,1920,VM,
236,7790190000000,Elementos Cabernet Sauvignon,3,3,0,262,468,VM,
237,7790190000000,Elementos malbec,28,19,9,373,580,VM,
238,7793440000000,Emilia cabernet sauvignon,1,1,0,375,648,VM,
239,7793440000000,Emilia malbec,2,2,0,375,648,VM,
240,7790420000000,Escorihuela gascon malbec,4,1,3,895,1620,VM,
241,7798110000000,Esperado callia cabernet sauvignon,4,0,4,285,590,VM,
242,7790310000000,Estancia mendoza reserva malbec,3,0,3,290,1050,VM,
243,7798120000000,Exploracion malbec las perdices,4,2,2,1190,2200,VM,
244,7798060000000,F. Monte flores Malbec,3,0,3,553,1200,VM,
245,7798000000000,Fabre Montmanyou reserva cab. franc,3,0,3,190,700,VM,
246,laseis,Finca la seis ,6,5,1,700,1100,VM,
247,7790240000000,Finca las Moras Malbec,3,0,3,315,490,VM,
248,7798150000000,Giramundo cabernet sauvignon,1,0,1,0,1800,VM,
249,7798080000000,Go Malbec,3,0,3,532,850,VM,
250,7790950000000,Gran Nina Cabernet Franc,6,3,3,983,1820,VM,
251,7790950000000,Gran nina malbec,6,2,4,1030,1820,VM,
252,7790950000000,Gran Nina Petit Verdot ,12,7,5,983,1820,VM,
253,7795230000000,Guanaco West blend,6,6,0,182,360,VM,
254,7798000000000,Hormiga negra malbec,8,8,0,370,540,VM,
